8010420	Estarreja	40.75463	-8.57917	40.6888038	-8.6671803	40.8337025	-8.5113895	40.70598	-8.62843	40.80659	-8.54377	ADM2	Y	7
8010669	Tarouca	41.02651	-7.74998	40.954253	-7.850653700000001	41.081012	-7.659784699999999	40.98436	-7.82103	41.06519	-7.68198	ADM2	Y	10
8010667	Sernancelhe	40.92097	-7.51226	40.812451	-7.6605845	41.0219793	-7.374209199999998	40.84227	-7.6281	41.00333	-7.41866	ADM2	Y	17
8010668	Tabuaço	41.09555	-7.56735	41.0057013	-7.6402841	41.1741617	-7.4746305	41.03575	-7.62375	41.15821	-7.50303	ADM2	Y	17
8010670	Vila Nova de Paiva	40.8659	-7.76127	40.7649286	-7.868479799999999	40.9478325	-7.6870599	40.80435	-7.83277	40.91028	-7.71788	ADM2	Y	7
8010671	Viseu	40.6745	-7.91721	40.5357324	-8.0915889	40.8425998	-7.7589842	40.56836	-8.06832	40.80124	-7.7808	ADM2	Y	34
8010600	Chamusca	39.299	-8.39933	39.0711325	-8.5805324	39.46378960000001	-8.1725994	39.15081	-8.48149	39.40087	-8.28583	ADM2	Y	7
8010609	Santarém	39.32131	-8.71313	39.1687465	-8.899447499999999	39.4830094	-8.5431227	39.19244	-8.87995	39.44556	-8.56704	ADM2	Y	28
8010607	Rio Maior	39.34288	-8.93806	39.2349098	-9.0015758	39.4660075	-8.7830675	39.25784	-8.94861	39.41945	-8.8084	ADM2	Y	14
8010608	Salvaterra de Magos	39.04482	-8.68903	38.961676	-8.8152147	39.1326257	-8.5752358	38.9999	-8.77009	39.09666	-8.62779	ADM2	Y	6
8010605	Golegã	39.38683	-8.50591	39.3177909	-8.5782924	39.4596553	-8.4345435	39.36183	-8.5334	39.41183	-8.47843	ADM2	Y	2
8010601	Constância	39.45718	-8.30368	39.33732029999999	-8.344522	39.5069995	-8.2407758	39.4042	-8.32713	39.48469	-8.28967	ADM2	Y	3
8010602	Coruche	38.9595	-8.52745	38.7627062	-8.729521	39.1101045	-8.1243103	38.82688	-8.63659	39.06614	-8.27199	ADM2	Y	8
8010611	Tomar	39.6104	-8.39346	39.476606	-8.5125327	39.707775	-8.236405999999999	39.51314	-8.48414	39.68286	-8.29093	ADM2	Y	16
8010619	Grândola	38.18999	-8.61197	38.0234519	-8.9087257	38.4942616	-8.238175499999999	38.10501	-8.8083	38.3696	-8.38131	ADM2	Y	5
8010616	Alcochete	38.73827	-8.97936	38.671371	-9.0310597	38.8261419	-8.810246	38.73229	-9.01568	38.74876	-8.9173	ADM2	Y	3
8010614	Ourém	39.66179	-8.57895	39.535839	-8.7022514	39.8385566	-8.423081999999999	39.59421	-8.65544	39.79496	-8.44378	ADM2	Y	18
8010612	Torres Novas	39.4916	-8.54796	39.3971375	-8.673322299999999	39.6321069	-8.450787499999999	39.41541	-8.61193	39.58978	-8.48499	ADM2	Y	17
8010613	Vila Nova da Barquinha	39.47559	-8.40953	39.4470456	-8.4677473	39.5210058	-8.3270951	39.46624	-8.43709	39.4897	-8.36223	ADM2	Y	5
8010622	Palmela	38.58423	-8.89996	38.51320279999999	-9.0258529	38.7416316	-8.612381	38.5764	-8.97229	38.67012	-8.71175	ADM2	Y	5
8010620	Moita	38.65854	-9.0104	38.6012146	-9.0506251	38.696867	-8.9448854	38.64032	-9.04133	38.68368	-8.97176	ADM2	Y	6
8010625	Setúbal	38.51742	-8.90817	38.4539603	-9.0556241	38.5807011	-8.7342313	38.4897	-9.0042	38.5494	-8.79739	ADM2	Y	8
8010623	Santiago do Cacém	38.02502	-8.67577	37.7493345	-8.825614999999999	38.1269489	-8.2931353	37.82695	-8.77295	38.08577	-8.38039	ADM2	Y	11
8010652	Castro Daire	40.92279	-7.93878	40.7867224	-8.1326073	41.0266205	-7.750080400000001	40.81913	-8.08497	41.00054	-7.78463	ADM2	Y	22
8010659	Oliveira de Frades	40.74639	-8.1752	40.6303819	-8.3335878	40.8039267	-8.129546099999999	40.58387	-8.30912	40.78086	-8.15281	ADM2	Y	12
8010665	São Pedro do Sul	40.80073	-8.09023	40.7292203	-8.2550957	40.9365361	-7.927512399999999	40.74905	-8.20804	40.88713	-7.96778	ADM2	Y	19
8010663	Santa Comba Dão	40.40442	-8.1138	40.3330905	-8.1868181	40.4654224	-8.0450485	40.35414	-8.15347	40.44952	-8.06717	ADM2	Y	9
8010664	São João da Pesqueira	41.11079	-7.43382	40.9993737	-7.555744499999999	41.2146578	-7.304573100000001	41.02328	-7.5096	41.18688	-7.34505	ADM2	Y	14
8010662	Resende	41.07688	-7.95123	40.99929789999999	-8.0275705	41.1505213	-7.850346	41.01831	-8.01149	41.12662	-7.87507	ADM2	Y	15
8010660	Penalva do Castelo	40.66791	-7.66015	40.6241776	-7.783968499999999	40.7264784	-7.5351418	40.63659	-7.75197	40.70049	-7.56323	ADM2	Y	13
